Hanzi,Meaning,Notes,alt_sort_num
蹲,squat,dūn,2479
逗,tease,dòu,2480
橱,closet,chú,2481
嘻,giggling,xī,2482
嘉,commend,jiā,2483
盟,alliance,méng,2484
孟,Mencius,mèng,2485
猛,fierce,měng,2486
盐,salt,yán,2487
盔,helmet,kuī,2488
盒,small box,hé,2489
盛,flourishing,shèng,2490
盏,small cup,zhǎn,2491
盗,master thief,dào,2492
磕,collide with,kē,2493
盈,replete,yíng,2494
盆,basin,pén,2495
蕴,amass,yùn,2496
鉴,probe,jiàn,2497
滥,indiscriminate,làn,2498
尴,abashed,gān,2499
尬,embarrassed,gà,2500
沈,Shen,Shěn,2501
枕,pillow,zhěn,2502
耽,indulge in,dān,2503
衅,quarrel,xìn,2504
垦,reclaim,kěn,2505
狠,ruthless,hěn,2506
恳,wholeheartedly,kěn,2507
艰,arduous,jiān,2508
爵,upper crust,jué,2509
嚼,chew,jiáo,2510
卿,minister,qīng,2511
恨,hate,hèn,2512
朗,lucent,lǎng,2513
狼,wolf,láng,2514
粮,provisions,liáng,2515
酿,brew,niàng,2516
饥,starving,jī,2517
饶,spare,ráo,2518
饰,ornaments,shì,2519
饮,beverage,yǐn,2520
蚀,eat away,shí,2521
饱,sated,bǎo,2522
馒,bread,mán,2523
饼,cookie,bǐng,2524
饺,dumpling,jiǎo,2525
饿,hungry,è,2526
溉,irrigate,gài,2527
慨,incensed,kǎi,2528
苹,apple,píng,2529
萍,duckweed,píng,2530
秤,scale,chèng,2531
淆,confuse,xiáo,2532
艾,Chinese mugwort,ài,2533
哎,Good grief!,āi,2534
赵,Zhao,zhào,2535
攀,climb,pān,2536
刹,brake,shā,2537
枫,maple,fēng,2538
钢,steel,gāng,2539
岗,hillock,gǎng,2540
纲,guidelines,gāng,2541
屯,stockpile,tún,2542
吨,ton,dūn,2543
顿,pause,dùn,2544
纯,unadulterated,chún,2545
齿,teeth,chǐ,2546
龄,length of service,líng,2547
汹,turbulent,xiōng,2548
篱,fence,lí,2549
仪,rite,yí,2550
辜,crime,gū,2551
辞,phraseology,cí,2552
宰,butcher,zǎi,2553
辨,differentiate,biàn,2554
辫,braid,biàn,2555
臂,arm,bì,2556
劈,split,pǐ,2557
譬,analogy,pì,2558
僻,out-of-the-way,pì,2559
纠,entangle,jiū,2560
咳,cough,ké,2561
嚷,cry out,rǎng,2562
镶,inlay,xiāng,2563
塞,stronghold,sài,2564
寨,stockade,zhài,2565
晴,sunny,qíng,2566
猜,guess,cāi,2567
靖,pacify,jìng,2568
债,debt,zhài,2569
牲,domestic animal,shēng,2570
隆,impressive,lóng,2571
腥,fishy smell,xīng,2572
猩,orangutan,xīng,2573
醒,awaken,xǐng,2574
寿,longevity,shòu,2575
畴,farmland,chóu,2576
涛,large waves,tāo,2577
铸,cast,zhù,2578
祷,pray,dǎo,2579
筹,make arrangements,chóu,2580
契,contract,qì,2581
拜,adore,bài,2582
锋,cutting edge,fēng,2583
逢,chance upon,féng,2584
缝,sew,féng,2585
蓬,disheveled,péng,2586
篷,awning,péng,2587
蜂,bee,fēng,2588
峰,peak,fēng,2589
瞎,visionless,xiā,2590
辖,administer,xiá,2591
豁,breach,huō,2592
韩,Korea,hán,2593
违,disobey,wéi,2594
纬,latitude,wěi,2595
奏,play an instrument,zòu,2596
凑,gather together,còu,2597
秦,Qin,qín,2598
蠢,foolish,chǔn,2599
泽,swamp,zé,2600
译,translate,yì,2601
择,select,zé,2602
捧,carry in both hands,pěng,2603
砖,brick,zhuān,2604
唾,saliva,tuò,2605
吟,recite,yín,2606
贪,greedy,tān,2607
琴,stringed instrument,qín,2608
炼,refine,liàn,2609
晒,bask,shài,2610
洒,spill,sǎ,2611
栖,perch,qī,2612
栗,chestnut,lì,2613
牺,sacrifice,xī,2614
潭,deep pool,tán,2615
覆,overturn,fù,2616
飘,flutter,piāo,2617
献,donate,xiàn,2618
阔,broad,kuò,2619
润,moisten,rùn,2620
阁,cabinet,gé,2621
搁,put aside,gē,2622
闹,stir up trouble,nào,2623
阅,peruse,yuè,2624
闷,stuffy,mēn,2625
闭,close,bì,2626
闪,flash,shǎn,2627
阀,valve,fá,2628
闸,floodgate,zhá,2629
阐,explicate,chǎn,2630
涧,ravine,jiàn,2631
菲,humble,fēi,2632
辈,lifetime,bèi,2633
悲,sad,bēi,2634
徘,irresolute,pái,2635
喉,gullet,hóu,2636
猴,monkey,hóu,2637
肝,liver,gān,2638
刊,publication,kān,2639
奸,adultery,jiān,2640
汗,sweat,hàn,2641
杆,shaft,gǎn,2642
轩,veranda,xuān,2643
罕,rarely,hǎn,2644
竿,pole,gān,2645
悍,bold,hàn,2646
吁,plead,yù,2647
涂,smear,tú,2648
叙,recount,xù,2649
徐,slowly,xú,2650
斜,slanting,xié,2651
喇,flared horn,lǎ,2652
嗽,hack,sòu,2653
赖,rely on,lài,2654
懒,lazy,lǎn,2655
嫩,tender,nèn,2656
董,director,dǒng,2657
疗,cure,liáo,2658
痰,phlegm,tán,2659
症,disease,zhèng,2660
疼,hurt,téng,2661
痒,itch,yǎng,2662
瘫,paralysis,tān,2663
疫,epidemic,yì,2664
癌,cancer,ái,2665
疲,fatigued,pí,2666
痴,idiotic,chī,2667
瘤,tumor,liú,2668
疮,sore,chuāng,2669
疾,rapid,jí,2670
瘾,addiction,yǐn,2671
痕,trace,hén,2672
汇,converge,huì,2673
框,rectangular frame,kuàng,2674
筐,rectangular basket,kuāng,2675
砸,smash,zá,2676
匠,artisan,jiàng,2677
匪,bandit,fěi,2678
匿,keep out of sight,nì,2679
兜,pocket,dōu,2680
巨,gigantic,jù,2681
柜,cupboard,guì,2682
渠,canal,qú,2683
拒,refuse,jù,2684
矩,square,jǔ,2685
距,distance,jù,2686
殴,hit,ōu,2687
呕,vomit,ǒu,2688
躯,human body,qū,2689
昂,hold one's head high,áng,2690
抑,curb,yì,2691
葵,large-flowered plants,kuí,2692
瞪,glare,dèng,2693
凳,bench,dèng,2694
澄,transparent,chéng,2695
僚,coworker,liáo,2696
拨,allocate,bō,2697
泼,splash,pō,2698
拔,pull out,bá,2699
杉,fir tree,shān,2700
彬,well-mannered,bīn,2701
衫,shirt,shān,2702
彰,manifest,zhāng,2703
膨,puffy,péng,2704
渗,seep,shèn,2705
诊,diagnose,zhěn,2706
趁,take advantage of,chèn,2707
寥,deserted,liáo,2708
谬,wrong,miù,2709
铲,small shovel,chǎn,2710
萨,Samoa,sà,2711
刘,Liu,liú,2712
坟,tomb,fén,2713
纹,design,wén,2714
斋,abstain from food,zhāi,2715
斑,speck,bān,2716
剂,pharmaceutical,jì,2717
挤,squeeze,jǐ,2718
脊,backbone,jǐ,2719
函,letter,hán,2720
涵,culvert,hán,2721
映,reflect,yìng,2722
殃,calamity,yāng,2723
秧,youngling,yāng,2724
焕,glowing,huàn,2725
肥,plump,féi,2726
爬,crawl,pá,2727
疤,scar,bā,2728
甜,sugary,tián,2729
嵌,set,qiàn,2730
钳,pliers,qián,2731
媒,matchmaker,méi,2732
煤,coal,méi,2733
谋,scheme,móu,2734
棋,chess,qí,2735
欺,dupe,qī,2736
旗,flag,qí,2737
嘶,hoarse,sī,2738
撕,rip,sī,2739
堪,tolerate,kān,2740
勘,survey,kān,2741
遣,dispatch,qiǎn,2742
谴,censure,qiǎn,2743
囊,sack,náng,2744
溃,burst,kuì,2745
宜,fitting,yí,2746
谊,friendship,yì,2747
租,rent,zū,2748
粗,coarse,cū,2749
阻,block,zǔ,2750
桑,mulberry tree,sāng,2751
嗓,voicebox,sǎng,2752
叠,heap,dié,2753
锄,hoe,chú,2754
碰,bump,pèng,2755
谱,musical score,pǔ,2756
壶,kettle,hú,2757
凿,bore a hole,záo,2758
湿,wet,shī,2759
哑,mute,yǎ,2760
晋,promote,jìn,2761
哄,fool,hǒng,2762
洪,deluge,hóng,2763
烘,warm by a fire,hōng,2764
戴,have on,dài,2765
翼,wings,yì,2766
恭,respectful,gōng,2767
拱,arch,gǒng,2768
撰,compose,zhuàn,2769
粪,dung,fèn,2770
殿,ceremonial hall,diàn,2771
暴,violent,bào,2772
瀑,waterfall,pù,2773
爆,explode,bào,2774
拥,hug,yōng,2775
佣,put to work,yōng,2776
甩,fling,shuǎi,2777
庸,mediocre,yōng,2778
触,touch,chù,2779
蟹,crab,xiè,2780
懈,lax,xiè,2781
册,Vol.,cè,2782
删,delete,shān,2783
栅,palisade,zhà,2784
珊,coral,shān,2785
遍,everywhere,biàn,2786
偏,partial,piān,2787
抵,resist,dǐ,2788
氓,hoodlum,máng,2789
哺,breastfeed,bǔ,2790
浦,river mouth,pǔ,2791
蒲,cattail,pú,2792
薄,slight,bó,2793
铺,shop,pù,2794
捕,capture,bǔ,2795
敷,apply,fū,2796
膊,shoulder to arm,bó,2797
傅,mentor,fù,2798
缚,bind fast,fù,2799
簿,register,bù,2800
郁,depressed,yù,2801
郭,outer walls,guō,2802
廓,limitless,kuò,2803
邓,Deng,dèng,2804
鄙,despicable,bǐ,2805
耶,Jerusalem,Yē,2806
邮,post,yóu,2807
邦,nation,bāng,2808
绑,truss,bǎng,2809
郊,outskirts,jiāo,2810
邻,neighbor,lín,2811
廊,hallway,láng,2812
缎,satin,duàn,2813
刁,wily,diāo,2814
叼,hold in the mouth,diāo,2815
钙,calcium,gài,2816
殷,ardent,yīn,2817
伺,attend to,sì,2818
饲,rear,sì,2819
舶,liner,bó,2820
舰,warship,jiàn,2821
航,navigate,háng,2822
舵,rudder,duò,2823
舱,ship's cabin,cāng,2824
艇,light boat,tǐng,2825
沿,along,yán,2826
铅,lead,qiān,2827
狐,fox,hú,2828
瓣,petal,bàn,2829
溢,brim over,yì,2830
隘,pass,ài,2831
霞,red sky,xiá,2832
氨,ammonia,ān,2833
氧,oxygen,yǎng,2834
氛,atmosphere,fēn,2835
氢,hydrogen,qīng,2836
氯,chlorine,lǜ,2837
霸,tyrant,bà,2838
靴,boots,xuē,2839
鞭,whip,biān,2840
鞠,bow respectfully,jū,2841
芽,sprout,yá,2842
讶,surprised,yà,2843
雅,polished,yǎ,2844
邪,wicked,xié,2845
悉,be informed,xī,2846
毯,blanket,tǎn,2847
毫,milli-,háo,2848
耗,consume,hào,2849
耕,till,gēng,2850
籍,records,jí,2851
藉,in disorder,jí,2852
畏,be afraid of,wèi,2853
喂,Hello...,wèi,2854
胀,bloated,zhàng,2855
帐,tent,zhàng,2856
誉,reputation,yù,2857
剑,saber,jiàn,2858
敛,restrain,liǎn,2859
捡,pick up,jiǎn,2860
俭,thrifty,jiǎn,2861
签,sign,qiān,2862
鹏,roc,péng,2863
鸣,twitter,míng,2864
鸿,swan,hóng,2865
莺,oriole,yīng,2866
鸽,pigeon,gē,2867
鹤,crane,hè,2868
鹊,magpie,què,2869
鸥,gull,ōu,2870
鹅,goose,é,2871
鸦,raven,yā,2872
乌,crow,wū,2873
呜,zoom-zoom,wū,2874
捣,pound with a pestle,dǎo,2875
寓,residence,yù,2876
愚,pea-brained,yú,2877
偶,by chance,ǒu,2878
缸,vat,gāng,2879
窑,kiln,yáo,2880
罐,jar,guàn,2881
灌,pour into,guàn,2882
陶,pottery,táo,2883
淘,wash in a container,táo,2884
掏,draw out,tāo,2885
谣,rumor,yáo,2886
冤,injustice,yuān,2887
挽,tow,wǎn,2888
勉,strive,miǎn,2889
馋,gluttonous,chán,2890
橡,rubber tree,xiàng,2891
豫,pleased,yù,2892
码,numeral,mǎ,2893
驯,tame,xùn,2894
玛,Matteo,mǎ,2895
驻,be stationed,zhù,2896
骄,arrogant,jiāo,2897
驰,gallop,chí,2898
蚂,leech-hopper,mà,2899
驶,maneuver,shǐ,2900
骚,disturb,sāo,2901
驾,drive,jià,2902
驴,donkey,lǘ,2903
腾,take flight,téng,2904
骡,mule,luó,2905
骤,trot,zhòu,2906
闯,rush,chuǎng,2907
驱,drive away,qū,2908
驳,refute,bó,2909
骗,cheat,piàn,2910
唬,bluff,hǔ,2911
虏,take captive,lǔ,2912
虐,despotic,nüè,2913
滤,filter,lǜ,2914
瞬,instant,shùn,2915
麟,Chinese unicorn,lín,2916
磷,phosphorous,lín,2917
唇,lips,chún,2918
辱,disgrace,rǔ,2919
震,quake,zhèn,2920
振,vibrate,zhèn,2921
郑,Zheng,zhèng,2922
掷,hurl,zhì,2923
魄,vigor,pò,2924
槐,scholar tree,huái,2925
魅,enchant,mèi,2926
瑰,marvelous,guī,2927
魂,soul,hún,2928
愧,ashamed,kuì,2929
魁,leader,kuí,2930
胧,hazy,lóng,2931
垄,raised path between fields,lǒng,2932
宠,dote on,chǒng,2933
庞,huge,páng,2934
拢,draw near,lǒng,2935
聋,deaf,lóng,2936
笼,cage,lóng,2937
挪,transfer,nuó,2938
辆,vehicles,liàng,2939
瞒,dissemble,mán,2940
龟,tortoise,guī,2941
蝇,flies,yíng,2942
绳,rope,shéng,2943
淹,inundate,yān,2944
俺,we (exclusive),ǎn,2945
钮,push button,niǔ,2946
羞,shy,xiū,2947
纽,New York,niǔ,2948
赫,illustrious,hè,2949
奕,radiating vitality,yì,2950
迹,indication,jì,2951
蛮,barbaric,mán,2952
啤,beer,pí,2953
脾,spleen,pí,2954
碑,stele,bēi,2955
嘱,admonish,zhǔ,2956
肆,IV,sì,2957
插,insert,chā,2958
毁,ruin,huǐ,2959
鼠,mouse,shǔ,2960
舅,mother's brother,jiù,2961
滔,surging,tāo,2962
稻,unhulled rice,dào,2963
蹈,tread,dǎo,2964
嫂,elder brother's wife,sǎo,2965
搜,search,sōu,2966
瘦,emaciated,shòu,2967
艘,vessels,sōu,2968
焰,flame,yàn,2969
馅,filling,xiàn,2970
陷,get stuck,xiàn,2971
爽,frank,shuǎng,2972
缀,embellish,zhuì,2973
傻,thick-headed,shǎ,2974
蝴,butterfly (front end),hú,2975
蝶,butterfly (back end),dié,2976
蜘,spider (front end),zhī,2977
蛛,spider (back end),zhū,2978
骆,camel (front end),luò,2979
驼,camel (back end),tuó,2980
蜻,dragonfly (front end),qīng,2981
蜓,dragonfly (back end),tíng,2982
凤,male phoenix,fèng,2983
凰,female phoenix,huáng,2984
玻,glass (front side),bō,2985
璃,glass (back side),lí,2986
橄,olive (A),gǎn,2987
榄,olive (B),lǎn,2988
芙,hibiscus (A),fú,2989
蓉,cottonrose hibiscus (B),róng,2990
咖,coffee (first drop),kā,2991
啡,coffee (last drop),fēi,2992
葡,grapes (A),pú,2993
萄,grapes (B),táo,2994
蘑,mushroom (cap),mó,2995
菇,mushroom (stem),gū,2996
吩,in-,fēn,2997
咐,-struct,fù,2998
乒,ping,pīng,2999
乓,pong,pāng,3000
曹,Cao,cáo,3001
潘,Pan,pān,3002
谭,Tan,tán,3003
姚,Yao-2,yáo,3004
薛,Xue,xuē,3005
彭,Peng,péng,3006
冯,Feng,Féng,3007
魏,Wei,wèi,3008
岳,Yue,yuè,3009
莉,jasmine,lì,3010
湘,Hunan Province,xiāng,3011
甸,outlying areas,diàn,3012
沧,dark blue,cāng,3013
穆,reverent,mù,3014
娜,na,nuó,3015
琼,fine jade,qióng,3016
琳,gem,lín,3017
